Trial Number	Deck Selection	RT	Reward	Penalty	Current Total
1	3	1851	100	0	100
2	2	994	50	0	150
3	1	1110	100	0	250
4	4	1010	50	0	300
5	3	810	100	0	400
6	4	1044	50	0	450
7	2	910	50	0	500
8	1	1443	100	0	600
9	4	1227	50	0	650
10	3	710	100	0	750
11	2	560	50	-50	750
12	2	877	50	0	800
13	1	677	100	-150	750
14	1	643	100	0	850
15	4	677	50	0	900
16	3	744	100	0	1000
17	2	810	50	-50	1000
18	2	793	50	0	1050
19	1	910	100	-300	850
20	1	1177	100	0	950
21	4	844	50	0	1000
22	3	576	100	0	1100
23	2	677	50	-50	1100
24	2	527	50	0	1150
25	1	710	100	-200	1050
26	1	644	100	0	1150
27	4	1011	50	0	1200
28	3	861	100	0	1300
29	2	727	50	-50	1300
30	2	677	50	-50	1300
31	2	477	50	0	1350
32	1	843	100	-250	1200
33	1	594	100	-350	950
34	1	560	100	0	1050
35	4	894	50	0	1100
36	3	543	100	0	1200
37	2	610	50	-25	1225
38	2	1010	50	-75	1200
39	2	677	50	0	1250
40	1	611	100	-350	1000
41	1	610	100	0	1100
42	4	761	50	0	1150
43	3	777	100	0	1250
44	2	810	50	0	1300
45	1	710	100	-250	1150
46	1	777	100	-200	1050
47	1	844	100	0	1150
48	4	844	50	0	1200
49	3	843	100	-1250	50
50	3	993	100	0	150

