Trial Number	Deck Selection	RT	Reward	Penalty	Current Total
1	1	1584	100	0	100
2	2	894	50	0	150
3	3	727	100	0	250
4	4	693	50	0	300
5	5	910	75	0	375
6	1	710	100	0	475
7	2	594	50	0	525
8	3	527	100	0	625
9	4	794	50	0	675
10	5	977	75	-100	650
11	5	1078	75	-150	575
12	5	861	75	-50	600
13	5	1094	75	-150	525
14	5	694	75	0	600
15	1	744	100	-150	550
16	1	727	100	0	650
17	2	528	50	-50	650
18	2	660	50	0	700
19	3	527	100	0	800
20	4	661	50	0	850
21	5	827	75	-50	875
22	5	1027	75	-150	800
23	5	778	75	0	875
24	1	594	100	-300	675
25	1	727	100	0	775
26	2	627	50	-50	775
27	2	711	50	0	825
28	3	694	100	0	925
29	4	928	50	0	975
30	5	1294	75	-100	950
31	5	878	75	-150	875
32	5	1044	75	-100	850
33	5	611	75	-150	775
34	5	994	75	0	850
35	1	644	100	-200	750
36	1	1044	100	0	850
37	2	2161	50	-50	850
38	2	644	50	0	900
39	3	494	100	0	1000
40	4	744	50	0	1050
41	5	844	75	-50	1075
42	5	844	75	0	1150
43	1	928	100	-250	1000
44	1	927	100	-350	750
45	1	811	100	0	850
46	2	894	50	-50	850
47	2	578	50	-50	850
48	2	711	50	0	900
49	3	1011	100	0	1000
50	4	777	50	0	1050
51	5	728	75	-150	975
52	5	877	75	-50	1000
53	5	610	75	-100	975
54	5	743	75	0	1050
55	1	760	100	-350	800
56	1	810	100	0	900
57	2	510	50	-25	925
58	2	677	50	-75	900
59	2	544	50	0	950
60	3	544	100	0	1050

